MatchFk,blue_p1,blue_p2,blue_p3,blue_p4,blue_p5,red_p1,red_p2,red_p3,red_p4,red_p5,result,rank_fk,rank_name,Patch
EUW1_7570714855,51,170,40,93,53,114,34,69,9,144,1,9,Grandmaster,15.20.719.545
EUW1_7570691191,181,81,147,63,152,102,146,79,85,55,1,9,Grandmaster,15.20.719.545
EUW1_7570668575,0,116,2,163,53,153,52,79,106,94,1,9,Grandmaster,15.20.719.545
EUW1_7570418307,139,99,159,59,55,23,151,33,63,122,0,9,Grandmaster,15.20.719.545
EUW1_7570290601,112,47,133,9,189,0,100,2,59,118,1,9,Grandmaster,15.20.719.545
EUW1_7570244449,136,107,40,155,152,5,173,33,22,99,1,9,Grandmaster,15.20.719.545
EUW1_7570105593,157,186,1,130,118,138,126,77,183,82,1,9,Grandmaster,15.20.719.545
EUW1_7570055179,139,170,147,63,103,0,116,79,183,86,1,9,Grandmaster,15.20.719.545
EUW1_7569998045,125,107,147,77,94,5,47,69,22,104,1,9,Grandmaster,15.20.719.545
EUW1_7569962628,181,170,2,63,103,56,179,129,59,53,1,9,Grandmaster,15.20.719.545
EUW1_7571062089,128,169,147,63,154,5,55,111,187,103,1,9,Grandmaster,15.20.719.545
EUW1_7571030282,164,170,159,49,103,153,151,112,59,132,1,9,Grandmaster,15.20.719.545
EUW1_7570996213,0,29,181,93,132,23,186,40,32,104,1,9,Grandmaster,15.20.719.545
EUW1_7570967007,56,29,57,32,104,153,186,189,63,82,0,9,Grandmaster,15.20.719.545
EUW1_7570926796,162,34,139,22,132,98,170,84,32,101,1,9,Grandmaster,15.20.719.545
EUW1_7570464376,127,108,51,188,132,23,73,13,58,15,0,9,Grandmaster,15.20.719.545
EUW1_7562278827,127,186,147,63,154,5,135,181,10,108,1,9,Grandmaster,15.20.717.2831
EUW1_7562221790,105,74,49,142,152,145,170,57,63,103,1,9,Grandmaster,15.20.717.2831
EUW1_7562172546,100,107,129,59,86,56,170,40,188,132,0,9,Grandmaster,15.20.717.2831
EUW1_7561794747,5,52,129,58,132,125,29,171,187,104,0,9,Grandmaster,15.20.717.2831
EUW1_7561743589,136,146,14,155,103,38,47,40,63,132,1,9,Grandmaster,15.20.717.2831
